x18,y18,z18,x23_aligned,y23_aligned,z23_aligned,drift,time_index,x18_vr,y18_vr,z18_vr,x23_vr,y23_vr,z23_vr
-0.03850988962813164,-0.010809031348065632,0.004307439881958642,-0.036134466245972816,0.0021685136236651533,-0.01597681844264928,0.024197323106435298,0,0.23806047096487346,0.3131702372908303,0.5762708382757622,0.14699341928957746,0.591141345418383,0.1916079405298365
-0.03898271313015389,-0.01097206564881479,0.0051934731082094185,-0.037062671944461896,0.0015413437272320397,-0.016213214707017174,0.024870027253420145,1,0.2345565077328676,0.3100943002504074,0.5906743702814264,0.13696929392028473,0.5681493760015823,0.18786792106676373
-0.033559485480479996,-0.006337688588075053,0.017418023828503642,-0.01564289008779615,-0.012905570237384787,0.033587191026134736,0.025011665831955878,2,0.27474653678595135,0.3975302078778966,0.7893990933933202,0.3682914879809634,0.038527329518290146,0.9757589108374329
-0.029471303611444063,-0.005525400666292121,0.021447391817482123,-0.013489432433279413,-0.013305134691660829,0.0340608767441015,0.02179551490226794,3,0.3050429135387738,0.41285548908939146,0.8549012992614148,0.39154767951423775,0.023879346946098657,0.9832530808883533
-0.02653723263015767,-0.008655772477227909,0.019874266186335685,-0.015237930913669533,-0.013238523692057896,0.03384327546645938,0.01854208856211833,4,0.3267864960691514,0.35379536150085455,0.8293282567322678,0.3726648305897172,0.026321297802482744,0.9798104164463106
-0.029547102974296406,-0.0063026774262520836,0.02314677620407063,-0.014696790044278223,-0.013557272550446664,0.03440370928864176,0.0199969869481871,5,0.30448118558043813,0.3981907567868357,0.8825268291816954,0.3785088627111063,0.014636004797517426,0.9886770261126311
-0.03085963640671067,-0.0039455795948346705,0.021934164153485647,-0.014865430027378604,-0.013743269782774622,0.03435397882766222,0.02249580332560749,6,0.29475436602031047,0.44266167176755833,0.8628143669809704,0.3766876410404945,0.007817369685061843,0.9878902417170806
-0.02692145346790689,-0.0073160655641020395,0.02049033557247501,-0.014394167051279423,-0.012635628151162403,0.03337096562793617,0.018738764145682627,7,0.32393914249496203,0.3790713561747287,0.8393432029646072,0.3817770292677095,0.04842337240241209,0.9723380141501031
-0.028418134551195594,-0.004785965981954277,0.022202699369656593,-0.014143958359452466,-0.012849754853567472,0.033725094440545805,0.02003852252758499,8,0.31284765600274544,0.42680626217258233,0.8671797287599331,0.38447914938983635,0.04057351445958471,0.9779406773526557
-0.02842448106492206,-0.005106899437491344,0.02413309290577616,-0.01440265620161095,-0.013066285619067012,0.0338317204577388,0.018815599306865462,9,0.31280062375782985,0.42075127191064826,0.8985605892708638,0.38168535098202294,0.03263552386648424,0.9796276049385803
-0.02928958527962052,-0.005869982127332781,0.0231361372350022,-0.013357740556135141,-0.012831888159253539,0.0335649025535718,0.02027439167916867,10,0.30638957746425094,0.4063543364203664,0.8823538799886581,0.3929698813912145,0.041228505222983186,0.9754062854632105
-0.03188534231134716,-0.007172307811268951,0.023899108004995763,-0.01470691919289431,-0.013622262023651318,0.03438913102702309,0.021136241699533237,11,0.28715314535059755,0.3817836062641599,0.8947568842772107,0.3783994733206111,0.012253498894677518,0.9884463837954295
-0.06097981364596867,-0.00039179524883260487,0.0014042587786852947,-0.014626096631528156,-0.01327173403363772,0.034059195127714624,0.05814554817107081,12,0.07154212480034237,0.5097102428554394,0.5290761499725021,0.3792723137794884,0.025103810862711795,0.9832264760770076
-0.06128990306606163,0.001273967098750653,0.00036654453272404305,-0.014700996727478422,-0.01395651027761353,0.03511940308514144,0.06008539600020583,13,0.06924413850737543,0.5411378631901109,0.5122068612013764,0.3784634327812358,0.0,1.0
-0.05963407129045822,0.0003407925742235749,-0.0005807944360794773,-0.012875964044460377,-0.012805785794189395,0.034030152412701346,0.059641183403703446,14,0.0815150464366271,0.5235318375134147,0.496806730875437,0.3981728101826123,0.04218541463887535,0.9827669919997081
-0.05965930098675308,0.00010220579263944219,-0.0019078576981558897,-0.0115036219332711,-0.01207192940397134,0.033482866740181624,0.060989198790914294,15,0.08132807618706511,0.519030466234747,0.4752337270618658,0.41299337139497483,0.06908849748162256,0.9741083988846359
-0.060032443199707936,0.002109652852259579,-0.0008346582768983225,-0.01083935393637759,-0.012236187787133514,0.03364633179810561,0.06176327267457069,16,0.07856282321442079,0.5569045868277753,0.49267986988650136,0.42016711067551193,0.06306680584177103,0.9766945755308818
-0.05885814332925314,0.002787083940875586,-0.0003831143588930544,-0.00951252874167218,-0.011563563273152827,0.03344441079245152,0.0615242408514923,17,0.08726523236249493,0.5696855499026193,0.5000202574501514,0.4344961135210161,0.08772513581326327,0.9734999882848911
-0.060961973437056144,0.0055976151606711875,0.0007084892938192159,-0.010311227160744339,-0.011844072014631116,0.03294111694398367,0.06251921972563769,18,0.07167433361782592,0.622711306093247,0.517765583114599,0.42587059754102624,0.07744172067823554,0.9655373887321961
-0.058455500978308005,0.003692686681703041,0.0004896135725017193,-0.008717812694460361,-0.011537892204127537,0.033639626253802686,0.061682505702906704,19,0.09024910263824483,0.5867713839977742,0.5142074959415033,0.44307862201369985,0.08866623397068894,0.976588487279993
-0.06164830207642745,0.0049042124514116076,-0.00037901611740475083,-0.00982500115542138,-0.010981392496989244,0.03258575966377765,0.06344039253684859,20,0.06658814330126142,0.6096290094995825,0.500086879277296,0.431121578485338,0.1090674431482195,0.9599152899741261
-0.06566144351336255,0.00951816743167469,0.0037909890357072933,-0.00902460318455976,-0.011745255197190186,0.03340564761102655,0.06735646091398177,21,0.036847870282433935,0.6966796176318613,0.5678753108023621,0.43976544871615486,0.08106433276052599,0.9728867169484441
-0.06680817098291268,0.010485971273837874,0.006150374640485646,-0.009430542939820008,-0.011329349182050634,0.033641305400433065,0.06725958430211136,22,0.028349792515043812,0.7149389880360905,0.6062299515373699,0.4353815163553296,0.09631139489590036,0.9766150530173822
-0.06804990647067645,0.011214464147165983,0.006910494746118671,-0.007774228531324314,-0.010929651326844371,0.03292456500897172,0.06928384409669734,23,0.019147636796489054,0.7286833240589848,0.618586614860214,0.4532688265805879,0.1109642679293931,0.9652755209769601
-0.06856067820758828,0.010988293885175329,0.007671306121400325,-0.009078163947063027,-0.010413239157440754,0.03339412774663508,0.06824850673598232,24,0.015362449769126322,0.7244162128860447,0.6309545155996849,0.43918702111214253,0.12989587302223718,0.9727044614582767
-0.06799873564640667,0.01233906111267927,0.006934873522393672,-0.008107071689795879,-0.010233288225648148,0.032462414504311615,0.06890702224538935,25,0.019526849517569715,0.7499008804006518,0.6189829210865863,0.44967429839113443,0.13649285151854426,0.9579638492510152
-0.06649996799860118,0.012329027827493448,0.00786989143265043,-0.007863773766631617,-0.011790814624609618,0.034196907167314716,0.06865188876802149,26,0.030633798958046653,0.7497115843237013,0.6341827578390296,0.45230178590587067,0.07939412988913189,0.9854052148560698
-0.06958299606800643,0.013629417956413455,0.005864587308941044,-0.00758537839929203,-0.01036699697990192,0.03332251435150687,0.07192683980175116,27,0.007786336951114269,0.7742457967327795,0.6015841359463066,0.45530830705628483,0.13159110542702232,0.9715714677017452
-0.06833281803818875,0.012551550819147524,0.0072741618329819685,-0.0045025254322644875,-0.011246264940579722,0.03212730425457251,0.0725142811956355,28,0.01705105799650886,0.7539098831432093,0.6244984592130572,0.48860147115437574,0.09935725272450711,0.9526620782621601
-0.06935391177527077,0.012929695067509262,0.010123769538486527,-0.006595771914246695,-0.009936239627700716,0.03260065837433714,0.07047443238537401,29,0.009484016815466805,0.7610442585158392,0.6708222477277392,0.4659955280984601,0.14738261570868383,0.96015100210611
-0.06102032996817642,0.0017844664425033247,0.0006281242595256864,-0.006067134068184535,-0.011250506950130598,0.03240646701904855,0.06480453178220855,30,0.0712418696254095,0.5507693568901785,0.5164591531644703,0.47170453425141284,0.09920174118861516,0.9570787054677438
-0.0618634798137273,0.00133731373264697,0.000879792496270075,-0.006227751103231605,-0.010560751289194932,0.03356804319638069,0.06561569929708236,31,0.06499352104449929,0.5423330120434039,0.5205503219777388,0.4699699561310924,0.12448809684996226,0.9754559734955626
-0.06208654840499593,0.0042326933641714986,-0.000806888987584805,-0.0068547107398409975,-0.011203558252108017,0.032869571456104044,0.06650517080533257,32,0.06334042186758093,0.5969595870265113,0.4931312929658528,0.46319912719835804,0.1009228745453545,0.9644054693345679
-0.0629566031024071,0.003132929437845168,-0.0006911869072053806,-0.007776162522414927,-0.010931588695492309,0.03393161463428823,0.06664405509500962,33,0.05689268892595726,0.5762105508962996,0.49501216895164263,0.45324794051062844,0.11089324423875396,0.98120802823986
-0.06562821072500469,0.002860964207512924,0.0008612170932833302,-0.006866795345770751,-0.009756065420330527,0.033577821260582306,0.06842857270351672,34,0.03709414921739579,0.5710794347947057,0.5202483565395241,0.4630686199141693,0.1539877794595455,0.9756106720079227
-0.06792898530444987,0.01592746160927652,0.017127611573833683,-0.004966717191695928,-0.011971796424871162,0.03267651008645531,0.0706001703235486,35,0.020043749867470206,0.8176025477960174,0.7846780941338725,0.483588448287238,0.07275935988458221,0.961351050171116
-0.06582237643667388,0.01799915066157596,0.019525171722017544,-0.00539594723441133,-0.009886612910292593,0.03308051821752114,0.0679169829625504,36,0.03565524122806092,0.8566887098056363,0.8236533078242192,0.47895299327177127,0.14920192491882456,0.9677428528396825
-0.06574377702027456,0.015004531042590082,0.01821247040983147,-0.004843206327207307,-0.009215154420045205,0.03321286182759182,0.06723454779602736,37,0.036237719603062185,0.8001897929170475,0.8023137747189472,0.484922299600712,0.17381750860710435,0.9698366578276808
-0.06838200351956884,0.013241938276034987,0.013528707070337499,-0.003234367854613524,-0.010949715903723678,0.031663631455232634,0.07182148736368983,38,0.01668655809841315,0.7669352915457689,0.7261735881338178,0.5022968950965951,0.11022870306795166,0.945326322349665
-0.07054593468854735,0.012665788066223899,0.011941884424867502,-0.003034085128753102,-0.00900177126642721,0.03278674027602565,0.07390426898274423,39,0.0006502671351619408,0.7560651754839222,0.7003778842209367,0.5044598414743179,0.1816401081450409,0.9630949992792529
-0.06747764218381873,0.016445940179830514,0.015755895584216036,-0.004563935018028297,-0.010617368310788695,0.03253730474609479,0.07051363633553188,40,0.02338852797800474,0.8273845840454708,0.762379206717717,0.4879382804547552,0.12241252396874223,0.9591486859175856
-0.06830357404029148,0.0185431074563223,0.01809536933135363,-0.002737234799382645,-0.01062120466242799,0.03253120534291702,0.07319764548239634,41,0.017267777116752685,0.8669514388489209,0.8004101563423649,0.507665666349525,0.12227188380079987,0.959052187410475
-0.06534464759470156,0.017462027561070355,0.019783202931289556,-0.004173804763981782,-0.00930392828373741,0.03272224978092846,0.06801255279934705,42,0.03919555656767573,0.8465549107675187,0.8278479143819623,0.49215147865347564,0.170563069944422,0.9620746967482818
-0.06881002369601927,0.015632296052832173,0.01473099286907605,-0.004089963788250343,-0.010593166606669056,0.031947080224199335,0.07192256050773865,43,0.013514619828795614,0.8120337155689812,0.7457181847347414,0.493056916373998,0.12329975539378009,0.9498107583264944
-0.06433391755323858,0.001132934923389304,0.00456370012422607,-0.00413516140846857,-0.009964377516352568,0.032883255320826726,0.06744655507359917,44,0.04668579528809235,0.5384770360507174,0.5804366556423373,0.49256880623612803,0.14635108425442225,0.9646219614205565
-0.06732995201191899,0.01609507804026802,0.014477840048467226,-0.004047631034841595,-0.008429464810977425,0.03181354270332928,0.0700473549596715,45,0.02448301869145695,0.8207649350133154,0.7416028822314792,0.49351408748174636,0.20262079072495226,0.9476980645052111
-0.06708127392787495,0.018854349969737626,0.021578499335745294,-0.00187170685508047,-0.010677005528764622,0.0313833411857054,0.07225319037317958,46,0.026325902683832975,0.8728235919551651,0.8570326091034595,0.5170129054781298,0.12022623106851879,0.9408918569144991
-0.06466326721674773,0.01773798240480326,0.02590202560253726,-0.0014409344605985286,-0.0087759526273519,0.030939561273834064,0.0687417549649279,47,0.04424507669759546,0.8517612981438053,0.9273167103268173,0.5216650170682078,0.18991859101370456,0.9338708258835834
-0.06440300460550874,0.012963810870549245,0.02327419365911421,-0.0016939825504230768,-0.008833338391501123,0.030882788966030722,0.06682385715896498,48,0.04617381039324907,0.761687914861481,0.8845981526235559,0.5189322329655134,0.1878148361272176,0.932972632603263
-0.07046421674079864,0.013303388856037919,0.01999411917636712,-0.0006485495815871876,-0.01126093523093955,0.030480220004398664,0.0747501953797547,49,0.0012558560770859321,0.7680946679120791,0.8312766107293263,0.5302223501904575,0.09881944172750765,0.9266035989987821
-0.07063368149516017,0.01676937537314357,0.019610003674945312,-0.0011414655965829047,-0.008424358813250226,0.03138256547187855,0.07484975299900297,50,0.0,0.8334867741166183,0.8250323528903603,0.5248991207178393,0.20280797595857666,0.940879584365193
-0.0652976889891181,0.018331539442718887,0.024608265078723632,-0.0014353141245470953,-0.009976304178773368,0.030546940407441336,0.07010709520798711,51,0.03954355370971069,0.8629598255097579,0.9062850824371199,0.5217257136932003,0.14591385431213216,0.927659180848313
-0.0658968023125696,0.013773623388638037,0.022445269181120928,-0.0009273177973478315,-0.00864935293169209,0.029864931262924166,0.06912940886948098,52,0.035103691798869976,0.7769664931038593,0.8711229917657898,0.5272118024764029,0.19455971991249416,0.9168691310084465
-0.06827312978431978,0.012179305405120756,0.020610856789833452,-0.001121391172819382,-0.008324823439865518,0.02996961654153126,0.07083333736545999,53,0.017493391015161685,0.7468867999523033,0.8413024197977381,0.5251159137636581,0.20645693021127032,0.9185253542171111
-0.06616193467160117,0.013531995020599935,0.02370755389360029,0.0007378936396395481,-0.010502035339999738,0.029465042215456042,0.07131879356259484,54,0.03313886975916966,0.7724077367939902,0.8916429426184129,0.5451951958534453,0.12664061615270958,0.9105424962597989
-0.06894309351485048,0.013659754818707596,0.022295796932525834,0.002352018504790908,-0.009021701843149616,0.028130417349893678,0.07504321601325258,55,0.012528476478306438,0.7748181565245041,0.8686931412220261,0.5626268815630976,0.18090945571247533,0.8894274292072333
-0.06928326813188113,0.01820109356826226,0.023932677375837305,0.0027300432380007924,-0.009574006709054249,0.027776493887336887,0.07727967478738913,56,0.010007537173388002,0.8604987280893517,0.8953025946332119,0.5667093466078151,0.16066202888626802,0.8838280148427976
-0.06509489804270215,0.017226798374922424,0.025940802538065143,0.002167953442700359,-0.010439698205696225,0.02861750992530152,0.07277974296072763,57,0.04104638091052894,0.8421168866012163,0.9279470758880738,0.5606390772849018,0.12892588764547205,0.8971337088187776
-0.06596365508258258,0.01668900375532958,0.025550597280214936,0.003617812351894458,-0.009243009271887039,0.026839630704620053,0.0742678363569867,58,0.034608264547302876,0.8319704181406257,0.9216038217597764,0.5762967784789422,0.17279635324665207,0.8690059255557001
-0.06491856317900231,0.016242720070174358,0.02758724225308909,0.002732402058400488,-0.010262526964371037,0.027933480682875874,0.07265879918471554,59,0.04235314945372185,0.8235504690170515,0.9547119267177561,0.5667348206072192,0.1354209630393207,0.8863116990597677
-0.07052635941339026,0.015094422430993773,0.022421456587605755,0.00409259318342064,-0.009256303855594963,0.02540855549620722,0.07854851187144951,60,0.0007953340451473035,0.8018857565880997,0.8707358895187498,0.5814241576642916,0.17230897548225343,0.8463649200097942
-0.06754026545340415,0.019222000086481124,0.02450045334761928,0.005214371462873116,-0.008275547982329802,0.025667543178827933,0.07778633839749761,61,0.022924444375652452,0.8797599765491475,0.9045324735353989,0.5935387634333418,0.20826336227872663,0.8504623577433709
-0.06578461212888723,0.01979408168064599,0.02747274166519419,0.00461991247100936,-0.009474332822176336,0.026110391349560797,0.07625806954040319,62,0.03593510199090506,0.8905533308160101,0.9528505824322938,0.5871189240905694,0.16431606102617802,0.8574686477207349
-0.06459560117622254,0.016341617714571623,0.02849904008667236,0.005063617908042464,-0.008940171485990188,0.025202369859210663,0.07417845848492612,63,0.044746530870329294,0.825416352001272,0.9695342932945539,0.5919107056268137,0.18389834833792093,0.8431028621366076
-0.04595097946679836,-0.017783560258550664,0.008676843411097987,0.005232184453998705,-0.00807943586117577,0.02476736119289856,0.054523307509260203,64,0.18291662746042384,0.18158313128502723,0.6473007293825863,0.5937311342155247,0.21545280794166632,0.8362206007651645
-0.05321438667168544,-0.0075895450041408045,0.00879908621905754,0.005468591739182925,-0.009142135594170965,0.02442877241036343,0.06074857679937359,65,0.12908954044770315,0.3739116717675583,0.6492879327342689,0.5962842065234821,0.17649436956758613,0.8308637959948119
-0.06659677578672142,0.02088264045514406,0.027861584134308528,0.005952192278156587,-0.009482974532792282,0.025353811880292832,0.07868743395582477,66,0.02991638341356897,0.9110909614849557,0.9591716827963841,0.6015068338346703,0.16399925700334356,0.8454988226137703
-0.06655189263596398,0.019542183020685392,0.028281013639494607,0.006125480885233647,-0.009866172736129374,0.025913473854537367,0.07843760102713758,67,0.03024899993816647,0.8858008068683175,0.965990012090457,0.6033782581592979,0.1499512591293911,0.8543532208929192
-0.0626557529332116,0.016359327384617466,0.03037313793931163,0.0054280102095047396,-0.009539354315460711,0.0248807633402497,0.07305002872149939,68,0.05912220570482957,0.8257504769664931,1.0,0.5958459476959033,0.16193238127124815,0.838014733339051
0.020670368280728543,-0.01486419027845846,0.007444707930579567,0.006043467479855728,-0.008452934909461163,0.024960051452141693,0.023703115430748732,69,0.6766288730988127,0.23666232759648634,0.6272708904294154,0.602492557221662,0.20176037987038736,0.8392691486000504
0.0230365842879874,-0.016880920101931624,0.008135092095706798,0.007962437446741182,-0.01010061658292764,0.025443245696583475,0.02393270983137537,70,0.6941642406365047,0.19861307086927138,0.6384939124606449,0.6232164070744255,0.14135657723187164,0.8469137528136119
0.024954324297776814,-0.015096298875906865,0.005178584476682031,0.006898831078751359,-0.007127723207523934,0.022426915123886705,0.02621076007444879,71,0.7083760775145551,0.23228317898167652,0.5904323377318879,0.6117300268532493,0.2503424739648487,0.7991924612817333
0.025536123168145276,-0.019028043131697703,0.008032622891458282,0.007231311365717574,-0.006459634118029367,0.02291317994236515,0.026729422335741753,72,0.7126876268378746,0.15810371040184423,0.6368281527359969,0.6153206362244187,0.2748345358458759,0.806885644971331
0.025843244397750677,-0.021513256271327788,0.0089416523546868,0.00976741271320009,-0.006972014855926834,0.019473830636395555,0.024099934556107615,73,0.7149636166981569,0.11121566834929841,0.6516055161347798,0.6427091750986993,0.25605072252432454,0.7524717845026496
0.03360278570473986,-0.019129758522853188,0.012324554843547648,0.00777087735437452,-0.00656127974183719,0.021611009446046638,0.030190932197843752,74,0.7724674153051083,0.15618466552724672,0.7065986505080019,0.6211476604757326,0.27110822007843804,0.7862840376934295
0.029472969652295043,-0.019020169241223787,0.012492921795871947,0.006800722009716873,-0.006085439436134854,0.022836814305381557,0.028077289052637126,75,0.7418624992194579,0.15825226559084224,0.7093356571062316,0.6106705013520947,0.2885524657576564,0.8056774661137155
0.02752242396003781,-0.020436798007440967,0.011646518071049033,0.008600225442744809,-0.00949798166686611,0.024031324162949723,0.025121519094088506,76,0.7274075485691937,0.13152500099368014,0.6955763501423303,0.6301041765002944,0.1634490973582113,0.8245757770835735
0.02839150791285624,-0.01976891302349651,0.012302246584458304,0.006811026536016941,-0.007742116200088445,0.022361688660664937,0.02667495816626902,77,0.7338480875931164,0.14412585953336776,0.7062360030200023,0.6107817847278283,0.22781890423473428,0.7981605150172307
0.02739141848634182,-0.0234760933962897,0.012578303472758389,0.009437415666671852,-0.006651390570581143,0.02069257371103191,0.025908651526504695,78,0.7264367035053189,0.0741831948805596,0.7107236385941663,0.6391453833968384,0.2678047684453374,0.7717534886015414
0.02877553124499156,-0.025309314170373343,0.012912920775578087,0.009536252522103427,-0.009534593099007827,0.02322834051147811,0.026933242563496784,79,0.7366939775082314,0.03959616836917203,0.7161632438911446,0.6402127686020418,0.16210692686677827,0.8118717925554619
0.029897126125173656,-0.025730593644809563,0.015129888373937602,0.0077178190159828235,-0.008029198633582053,0.021958177490424034,0.02918709614616775,80,0.7450058046584377,0.031647968917683525,0.7522027092434902,0.6205746587835532,0.21729449837832265,0.7917765747536077
0.030704878001357485,-0.02404285550592035,0.014539221501505295,0.007900507969783348,-0.005948431064838042,0.023969886667104465,0.03060040741324597,81,0.7509918287512052,0.06349020231328749,0.7426007113164325,0.6225476018278184,0.29357517539441896,0.8236037759784031
0.0328604608549187,-0.02228703059840136,0.013489581208225068,0.008769113995478901,-0.009411485931187687,0.023807827324915848,0.029199980255196382,82,0.7669662526749664,0.09661701577964148,0.7255375503527401,0.6319280825900768,0.16662002013481825,0.8210398391261061
0.029573124749100767,-0.024961598953592228,0.01471364200089545,0.008561839779090715,-0.009298007732391839,0.022983660002348222,0.027481182357755082,83,0.7426047207359525,0.04615644500973807,0.7454361255774085,0.6296896318519708,0.17078011661111017,0.808000708260508
0.028843611430100873,-0.02642264014885374,0.013407399122283713,0.007763200928383599,-0.00866172876919142,0.023048611871214052,0.029202511248645504,84,0.7371985007910863,0.018591259589013823,0.7242015820503354,0.6210647591784809,0.19410602326839477,0.8090283101744837
0.0297286801706038,-0.026455465581882946,0.015384581738334803,0.007706622256776591,-0.008304716674693707,0.022557460510804445,0.0294256845381095,85,0.7437574986227424,0.0179719484081243,0.756343055132378,0.6204537397693781,0.2071940416902017,0.8012578166256183
0.02921527091080642,-0.023533462193605484,0.011131038294065997,0.008965187108645377,-0.009162882619374443,0.02285078519196968,0.027457820719146202,86,0.7399527656481605,0.07310082872928178,0.6871966085637154,0.6340455674009625,0.17573378623652883,0.8058984991655519
0.02759662023565738,-0.024672016222500627,0.014240204585590015,0.008139369252816735,-0.008117631170016588,0.022044581375374378,0.026712180318201002,87,0.7279573964947108,0.05161994713621365,0.737739832975735,0.625127176000757,0.2140525727299194,0.793143568484509
0.029750590126705122,-0.027085890334392144,0.013291203277869553,0.01106216108185999,-0.0071225120807125,0.01975031727537855,0.02809829185371447,88,0.7439198672027,0.006077844906395318,0.7223126793383835,0.6566917653696496,0.25053351321746103,0.7568460727928686
0.030421543031185404,-0.026633378638878796,0.0117349577931906,0.011154614681828033,-0.008478556801203772,0.019591086586545695,0.027613961026893185,89,0.7488921122320849,0.014615296712905875,0.6970140438209618,0.65769021482803,0.20082108454595135,0.7543268879954871
0.041731688843792955,-0.023337483956458783,0.010898057380156225,0.011594324710780753,-0.006474258481984511,0.016861652416746677,0.035045592533857584,90,0.8327084515352383,0.07679831273103065,0.6834092245799251,0.6624388480927602,0.27429840850508813,0.7111445773717555
0.04044683582316595,-0.02149400605749357,0.009410445096305491,0.012167111006175272,-0.006547790036520669,0.015973655887851088,0.032652839768763854,91,0.8231867637943509,0.11157885846019318,0.6592263039990227,0.6686246338988522,0.271602750976434,0.69709560620848
0.04319211777165139,-0.019517238203231656,0.005352873305662923,0.01183426805532014,-0.006464989389053223,0.016903083640827286,0.03587594314754353,92,0.8435312834043972,0.1488741603402361,0.593265611532554,0.6650301079515453,0.27463821228458984,0.7118000597451963
